T03,"Population growth and indicators of fertility and mortality",,,,,
17,"Middle Africa",2005,"Total fertility rate (children per women)",6.3806,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2005,"Infant mortality for both sexes (per 1,000 live births)",103.6152,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
17,"Middle Africa",2005,"Life expectancy at birth for both sexes (years)",50.5523,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2005,"Life expectancy at birth for males (years)",49.0468,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2005,"Life expectancy at birth for females (years)",52.0727,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2010,"Population annual rate of increase (percent)",3.227,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,"Middle Africa",2010,"Total fertility rate (children per women)",6.2275,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2010,"Infant mortality for both sexes (per 1,000 live births)",87.7295,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
17,"Middle Africa",2010,"Life expectancy at birth for both sexes (years)",53.8813,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2010,"Life expectancy at birth for males (years)",52.3573,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2010,"Life expectancy at birth for females (years)",55.4186,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2015,"Population annual rate of increase (percent)",3.167,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,"Middle Africa",2015,"Total fertility rate (children per women)",5.9428,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2015,"Infant mortality for both sexes (per 1,000 live births)",74.0764,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
17,"Middle Africa",2015,"Life expectancy at birth for both sexes (years)",56.9945,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2015,"Life expectancy at birth for males (years)",55.3762,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2015,"Life expectancy at birth for females (years)",58.6348,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
